Soc-model,RK3506/RK3506J,RK3562/RK3562J,RK3568,RK3576/RK3576J
SOM-model:,MYC-YR3506,MYC-YR3562,MYC-LR3568,MYC-JR3576
CPU-info:,"RK3506B：3*A7@1.5GHz + 1*M0@200MHz
RK3506J：3*A7@1.2GHz + 1*M0@200MHz","RK3562: 4*A53@2.0 GHz，1TOPS NPU
RK3562J: 4*A53@1.8GHz, 1TOPS NPU","RK3568B2: 4*A55@2.0GHz, 1 TOPS NPU
RK3568J: 4*A55@1.4GHz, 1 TOPS NPU","RK3576/RK3576J: 4*A72@2.2GHz + 4*A53@1.8GHz + 1*M0,  6 TOPS NPU"
Storage:,"256MB/512MB LPDDR3L, 256MB Nand Flash or 8GB eMMC ","1GB/2GB LPDDR4, 8GB/16GB eMMC","2GB/4GB LPDDR4, 16GB/32GB eMMC","4GB/8GB LPDDR5, 32GB/64GB eMMC or 64GB/128GB UFS "
Footprint:,"LCC, 140-pin ","LCC+LGA, 222-pin","LGA, 381-pin",SMARC
Op Temp:,0~+70°C Commercial/ -40~+85°C Industrial,0~+70°C Commercial/ -40~+85°C Industrial,-20~+70°C Commercial/ -40~+85°C Industrial,0~+70°C Commercial/ -40~+85°C Industrial
Os:,Linux,Linux/Debian/Android,Linux/Debian/Android,Linux(Full&RT)/Debian
