Soc-model,RZ/G2L,RZ/T2H,AM62L,AM62X
SOM-model:,MYC-YG2LX,MYC-YT2H,MYC-YM62LX,MYC-YM62X
CPU-info:,"RZ/G2L 2*A55@1.2GHz + 1""M33@200MHz ",RZ/T2H 4*A55@1.2GHz + 2*R52@1.0GHz ,AM62L 2*A53@1.25GHz ,AM62x 1/2/4*A53@1.4GHz + 1*M4F@400MHz 
Storage:,"1GB/2GB DDR4, 8GB eMMC ","2GB LPDDR4, 8GB eMMC ","512MB/1GB DDR4, 512MB QSPI NAND or 8GB eMMC","1GB/2GB DDR4, 8GB eMMC "
Footprint:," LCC+LGA, 222-pin ","LCC+LGA, 336-pin ","LCC, 164-pin ","LCC+LGA, 222-pin"
Op Temp:,-40°C~+85°C Industrial,-40°C~+85°C Industrial,-40°C~+85°C Industrial,-40°C~+85°C Industrial
Os:,Linux,Linux,Linux,Linux/Debian
